# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 364K of event 'cpu/cycles/P'
# Event count (approx.): 245777062108
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  .......................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __folio_batch_add_and_move
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.00%  point_cloud_col  point_cloud_collimation  [.] std::_Hashtable<long, std::pair<long const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<long const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<long>, std::hash<long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::~_Hashtable()
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __schedule
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] rmqueue_pcplist
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __free_one_page
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] update_curr_dl_se
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] enqueue_task_fair
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] timerqueue_del
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] node_retire
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] do_user_addr_fault
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] pick_eevdf
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] folio_add_new_anon_rmap
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] irqentry_enter
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] mod_node_page_state
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __irq_exit_rcu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] percpu_counter_add_batch
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __run_timers
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] pte_offset_map_rw_nolock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] ntp_get_next_leap
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] intel_pmu_disable_all
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] perf_event_context_sched_out
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] psi_task_change
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] account_process_tick
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] handle_edge_irq
     0.00%  point_cloud_col  point_cloud_collimation  [.] double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] kick_ilb
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] hrtimer_forward
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __pte_offset_map
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __mem_cgroup_charge
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] check_cpu_stall
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __queue_work
